game,win,accuracy
1,0,71.0
2,1,94.1
3,1,75.3
4,1,89.5
5,0,61.2
6,0,71.4
7,1,80.9
8,0,85.0
9,0,73.7
10,1,86.6
11,0,61.4
12,0,71.2
13,1,89.8
14,0,68.8
15,1,84.5
16,0,72.3
17,1,83.9
18,1,56.8
19,1,84.3
20,1,87.9
21,1,88.5
22,1,97.1
23,0,69.5
24,0,84.5
25,1,76.6
26,0,82.1
27,0,47.7
28,0,65.3
29,0,71.1
30,0,62.4
31,1,82.2
32,1,96.3
33,1,71.4
34,0,81.1
35,0,77.7
36,0,54.7
37,0,68.4
38,0,73.8
39,0,74.8
40,0,69.4
41,0,79.5
42,1,85.2
43,1,86.3
44,1,85.9
45,1,67.1
46,0,74.8
47,0,47.8
48,1,95.6
49,1,56.5
50,1,58.3
51,1,63.0
52,0,68.1
53,0,48.7
54,1,66.2
55,1,70.7
56,1,92.5
57,0,64.6
58,0,52.4
59,0,70.6
60,0,71.0
61,1,32.1
62,0,80.2
63,0,65.2
64,1,70.8
65,0,86.9
66,1,92.6
67,0,77.4
68,0,34.4
69,0,46.1
70,1,78.4
71,0,67.9
72,0,72.6
73,1,88.7
74,0,63.5
75,1,81.2
76,0,69.1
77,1,90.4
78,0,74.3
79,0,59.7
80,1,83.5
81,0,66.4
82,1,92.1
83,1,76.9
84,0,71.8
85,0,54.3
86,1,87.2
87,1,79.6
88,0,68.7
89,0,62.9
90,1,85.1
91,0,73.4
92,1,91.7
93,0,57.8
94,0,70.1
95,1,84.9
96,1,77.5
97,0,64.2
98,0,72.4
99,1,89.3
100,0,61.7
